date,Price,Volume
31/12/2020,132.69,99116586
30/12/2020,133.72,96452124
29/12/2020,134.87,121047324
28/12/2020,136.69,123124632
24/12/2020,131.97,54930064
23/12/2020,130.96,88223692
22/12/2020,131.88,169351825
21/12/2020,128.23,121251553
18/12/2020,126.655,192541496
17/12/2020,128.7,94359811
16/12/2020,127.81,98208591
15/12/2020,127.88,157572262
14/12/2020,121.78,79075988
11/12/2020,122.41,86939786
10/12/2020,123.24,81312170
9/12/2020,121.78,115089193
8/12/2020,124.38,82225512
7/12/2020,123.75,86711990
4/12/2020,122.25,78260421
3/12/2020,122.94,78967630
2/12/2020,123.08,89004195
1/12/2020,122.72,125920963
30/11/2020,119.05,169410176
27/11/2020,116.59,46691331
25/11/2020,116.03,76499234
24/11/2020,115.17,113226248
23/11/2020,113.85,127959318
20/11/2020,117.34,73604287
19/11/2020,118.64,74112972
18/11/2020,118.03,76322111
17/11/2020,119.39,74270973
16/11/2020,120.3,91183018
13/11/2020,119.26,81688586
12/11/2020,119.21,103350674
11/11/2020,119.49,112294954
10/11/2020,115.97,138023390
9/11/2020,116.32,154515315
6/11/2020,118.69,114457922
5/11/2020,119.03,126387074
4/11/2020,114.95,138235482
3/11/2020,110.44,107624448
2/11/2020,108.77,122866899
30/10/2020,108.86,190573476
29/10/2020,115.32,146129173
28/10/2020,111.2,143937823
27/10/2020,116.6,92276772
26/10/2020,115.05,111850657
23/10/2020,115.04,82572645
22/10/2020,115.75,101987954
21/10/2020,116.87,89945980
20/10/2020,117.51,124423728
19/10/2020,115.98,120639337
16/10/2020,119.02,115393808
15/10/2020,120.71,112559219
14/10/2020,121.19,151062308
13/10/2020,121.1,262330451
12/10/2020,124.4,240226769
9/10/2020,116.97,100506865
8/10/2020,114.97,83477153
7/10/2020,115.08,96848985
6/10/2020,113.16,161498212
5/10/2020,116.5,106243839
2/10/2020,113.02,144711986
1/10/2020,116.79,116120440
30/9/2020,115.81,142675184
29/9/2020,114.09,100060526
28/9/2020,114.96,137672403
25/9/2020,112.28,149981441
24/9/2020,108.22,167743349
23/9/2020,107.12,150718671
22/9/2020,111.81,183055373
21/9/2020,110.08,195713815
18/9/2020,106.84,287104882
17/9/2020,110.34,178010968
16/9/2020,112.13,155026675
15/9/2020,115.54,184642039
14/9/2020,115.355,140150087
11/9/2020,112,180860325
10/9/2020,113.49,182274391
9/9/2020,117.32,176940455
8/9/2020,112.82,231366563
4/9/2020,120.96,332607163
3/9/2020,120.88,257599640
2/9/2020,131.4,200118991
1/9/2020,134.18,152470142
31/8/2020,129.04,223505733
28/8/2020,499.23,46907479
27/8/2020,500.04,38888096
26/8/2020,506.09,40755567
25/8/2020,499.3,52873947
24/8/2020,503.43,86484442
21/8/2020,497.48,84513660
20/8/2020,473.1,31726797
19/8/2020,462.83,36384502
18/8/2020,462.25,26408385
17/8/2020,458.43,29431414
14/8/2020,459.63,41391302
13/8/2020,460.04,52520516
12/8/2020,452.04,41486205
11/8/2020,437.5,46975594
10/8/2020,450.91,53100856
7/8/2020,444.45,49511403
6/8/2020,455.61,50607225
5/8/2020,440.25,30497988
4/8/2020,438.66,43198092
3/8/2020,435.75,77037847
31/7/2020,425.04,93573867
30/7/2020,384.76,39532505
