date,Price,Volume
2020-12-31,18.9,6940700.0
2020-12-30,19.12,7746456.0
2020-12-29,18.64,9828855.0
2020-12-28,18.89,6362778.0
2020-12-24,19.21,2895541.0
2020-12-23,19.48,9276574.0
2020-12-22,19.12,6426997.0
2020-12-21,19.35,8714778.0
2020-12-18,19.68,15807513.0
2020-12-17,20.08,9508713.0
2020-12-16,20.14,13388062.0
2020-12-15,20.07,15822936.0
2020-12-14,18.96,11775739.0
2020-12-11,19.83,10482731.0
2020-12-10,19.99,11667841.0
2020-12-09,19.51,16962312.0
2020-12-08,19.76,12226788.0
2020-12-07,18.97,12267812.0
2020-12-04,19.43,14895753.0
2020-12-03,18.02,11624706.0
2020-12-02,17.61,9738669.0
2020-12-01,17.08,9390725.0
2020-11-30,16.59,15727278.0
2020-11-27,17.56,4548163.0
2020-11-25,17.86,11050956.0
2020-11-24,17.91,15550743.0
2020-11-23,17.32,17856914.0
2020-11-20,15.9,7827268.0
2020-11-19,16.0,12055800.0
2020-11-18,15.39,12951423.0
2020-11-17,15.81,10451652.0
2020-11-16,15.46,12832182.0
2020-11-13,14.33,9684955.0
2020-11-12,13.92,9921014.0
2020-11-11,14.18,8998388.0
2020-11-10,14.38,14627614.0
2020-11-09,14.38,25174517.0
2020-11-06,12.28,10871287.0
2020-11-05,12.57,11946797.0
2020-11-04,12.71,19084445.0
2020-11-03,12.99,13231754.0
2020-11-02,12.8,15822613.0
2020-10-30,12.06,16138989.0
2020-10-29,11.62,15084807.0
2020-10-28,11.42,18266901.0
2020-10-27,12.51,11873064.0
2020-10-26,12.79,16611726.0
2020-10-23,13.31,17743479.0
2020-10-22,13.04,10770154.0
2020-10-21,12.67,11946944.0
2020-10-20,12.74,18733183.0
2020-10-19,12.17,20524104.0
2020-10-16,12.25,18407737.0
2020-10-15,13.07,12273763.0
2020-10-14,12.72,12221902.0
2020-10-13,12.54,9264009.0
2020-10-12,12.73,10810724.0
2020-10-09,12.58,13564627.0
2020-10-08,12.81,13712819.0
2020-10-07,11.93,13292334.0
2020-10-06,11.85,20036278.0
2020-10-05,11.93,13796447.0
2020-10-02,11.31,17883426.0
2020-10-01,11.17,27032483.0
2020-09-30,12.05,12139878.0
2020-09-29,12.07,13407976.0
2020-09-28,12.76,16598445.0
2020-09-25,12.37,18480347.0
2020-09-24,12.52,24020341.0
2020-09-23,12.65,15910256.0
2020-09-22,13.33,10214579.0
2020-09-21,13.22,19709671.0
2020-09-18,14.45,12507559.0
