date,Price,Volume,
31/12/2020,2.848601655,49649928,705.67
30/12/2020,2.841847308,42846021,694.78
29/12/2020,2.823467708,22910811,665.99
28/12/2020,2.821965274,31553561,663.69
24/12/2020,2.820707075,22865568,661.77
23/12/2020,2.810219072,33172972,645.98
22/12/2020,2.806410632,51861644,640.34
21/12/2020,2.812819806,58045264,649.86
18/12/2020,2.841984805,222126194,695
17/12/2020,2.816837631,56270144,655.9
16/12/2020,2.794327684,42095813,622.77
15/12/2020,2.801575198,45223559,633.25
14/12/2020,2.806064599,52040649,639.83
11/12/2020,2.785322715,46474974,609.99
10/12/2020,2.797316024,67083153,627.07
9/12/2020,2.781381936,71291190,604.48
8/12/2020,2.812833172,64265029,649.88
7/12/2020,2.807372645,56309709,641.76
4/12/2020,2.777455823,29401314,599.04
3/12/2020,2.773332904,42552003,593.38
2/12/2020,2.754974858,47775653,568.82
1/12/2020,2.766977657,39133346,584.76
30/11/2020,2.754042387,63003052,567.6
27/11/2020,2.767719712,37561078,585.76
25/11/2020,2.758911892,48930162,574
24/11/2020,2.744590236,52058771,555.38
23/11/2020,2.717545688,50260304,521.85
20/11/2020,2.689850279,32911922,489.61
19/11/2020,2.698335471,62475346,499.27
18/11/2020,2.687207803,78044024,486.64
17/11/2020,2.645038899,61188281,441.61
16/11/2020,2.610755953,26838635,408.09
13/11/2020,2.611192061,19830351,408.5
12/11/2020,2.614644155,19940500,411.76
11/11/2020,2.620271425,17357722,417.13
10/11/2020,2.613165021,30284224,410.36
9/11/2020,2.624550223,34833025,421.26
6/11/2020,2.633417953,21706014,429.95
5/11/2020,2.64156334,28414523,438.09
4/11/2020,2.624261464,32143057,420.98
3/11/2020,2.627263417,34351715,423.9
2/11/2020,2.602613364,29021118,400.51
30/10/2020,2.588876496,42587639,388.04
29/10/2020,2.61366215,22655308,410.83
28/10/2020,2.608547427,25451409,406.02
27/10/2020,2.628061809,22686506,424.68
26/10/2020,2.623538724,28239161,420.28
23/10/2020,2.623900244,33716980,420.63
22/10/2020,2.629195457,39993191,425.79
21/10/2020,2.625970598,32370461,422.64
20/10/2020,2.625250699,31656289,421.94
19/10/2020,2.634305937,36287843,430.83
16/10/2020,2.643126833,32775879,439.67
15/10/2020,2.652130256,35672354,448.88
14/10/2020,2.663983455,48045394,461.3
13/10/2020,2.649967338,34463665,446.65
12/10/2020,2.645716939,38791133,442.3
9/10/2020,2.63748973,28925656,434
8/10/2020,2.629328034,40421116,425.92
7/10/2020,2.628695383,43127709,425.3
6/10/2020,2.61697936,49146259,413.98
5/10/2020,2.629083246,44722786,425.68
2/10/2020,2.618142271,71430025,415.09
1/10/2020,2.651433091,50741454,448.16
30/9/2020,2.632467415,48145566,429.01
29/9/2020,2.622286572,50341404,419.07
28/9/2020,2.624488363,49719561,421.2
25/9/2020,2.609957059,67208459,407.34
24/9/2020,2.588596606,96561061,387.79
23/9/2020,2.580194839,95074176,380.36
22/9/2020,2.627601377,79580795,424.23
21/9/2020,2.652623404,109476800,449.39
18/9/2020,2.645569629,86406819,442.15
17/9/2020,2.626781625,76779163,423.43
16/9/2020,2.645186389,72546760,441.76
15/9/2020,2.652980828,97298228,449.76
14/9/2020,2.622856179,83020608,419.62
11/9/2020,2.571382697,60717459,372.72
10/9/2020,2.569771733,84930608,371.34
9/9/2020,2.563813206,79465769,366.28
8/9/2020,2.518790221,115465691,330.21
4/9/2020,2.621508629,110321885,418.32
3/9/2020,2.609594409,87596086,407
2/9/2020,2.650666858,96176128,447.37
1/9/2020,2.676739322,90119419,475.05
31/8/2020,2.697508318,115847020,498.32
28/8/2020,3.345059906,20081176,2213.4
27/8/2020,3.350005599,23693043,2238.75
26/8/2020,3.33307832,14239382,2153.17
25/8/2020,3.306068867,10658893,2023.34
24/8/2020,3.304102592,20063621,2014.2
21/8/2020,3.311749624,21489559,2049.98
20/8/2020,3.301427193,20611796,2001.83
19/8/2020,3.273818135,12205331,1878.53
18/8/2020,3.275792613,16474491,1887.09
17/8/2020,3.263787513,20023104,1835.64
14/8/2020,3.217670782,12577614,1650.71
13/8/2020,3.209783015,20425308,1621
12/8/2020,3.191663359,21898834,1554.76
11/8/2020,3.138109987,8625834,1374.39
