date,Price,Volume
2020-12-31,350.68,1969227.0
2020-12-30,344.99,1866024.0
2020-12-29,347.35,2275855.0
2020-12-28,345.95,2260528.0
2020-12-24,340.79,1360598.0
2020-12-23,337.59,2348234.0
2020-12-22,335.01,2069883.0
2020-12-21,336.08,2893022.0
2020-12-18,338.38,8743007.0
2020-12-17,341.67,2525662.0
2020-12-16,339.34,2365672.0
2020-12-15,339.67,2616862.0
2020-12-14,336.13,2478953.0
2020-12-11,337.07,3071737.0
2020-12-10,339.65,2896940.0
2020-12-09,344.41,2600442.0
2020-12-08,347.86,2471262.0
2020-12-07,347.86,2999382.0
2020-12-04,349.89,3255426.0
2020-12-03,348.68,4169186.0
2020-12-02,347.56,2864281.0
2020-12-01,341.19,3752691.0
2020-11-30,336.34,5265707.0
2020-11-27,337.94,1558621.0
2020-11-25,333.19,3145335.0
2020-11-24,336.01,3753225.0
2020-11-23,335.06,2538118.0
2020-11-20,334.7,3702637.0
2020-11-19,337.0,3935570.0
2020-11-18,344.51,2722477.0
2020-11-17,352.1,2557624.0
2020-11-16,356.82,2790381.0
2020-11-13,355.67,2442331.0
2020-11-12,354.41,2908228.0
2020-11-11,351.7,2048494.0
2020-11-10,353.69,3733236.0
2020-11-09,350.0,4635344.0
2020-11-06,347.46,2994932.0
2020-11-05,354.4,4786472.0
2020-11-04,354.56,10344924.0
2020-11-03,321.35,4043876.0
2020-11-02,312.1,4519209.0
2020-10-30,305.14,3557355.0
2020-10-29,303.68,3279189.0
2020-10-28,308.0,3301655.0
2020-10-27,320.51,2427684.0
2020-10-26,323.06,2408460.0
2020-10-23,330.6,2349525.0
2020-10-22,325.73,2100739.0
2020-10-21,322.79,2139034.0
2020-10-20,323.41,1988669.0
2020-10-19,324.22,2482339.0
2020-10-16,329.9,3293344.0
2020-10-15,324.57,3172686.0
2020-10-14,321.85,4455722.0
2020-10-13,331.42,2713530.0
2020-10-12,329.97,2424163.0
2020-10-09,327.84,2028946.0
2020-10-08,322.41,2056700.0
2020-10-07,323.17,2596552.0
2020-10-06,314.45,2434408.0
2020-10-05,318.15,1638618.0
2020-10-02,311.98,2338048.0
2020-10-01,313.07,2731236.0
2020-09-30,311.77,3497316.0
2020-09-29,304.15,1797818.0
2020-09-28,303.23,2575710.0
2020-09-25,302.5,2455819.0
2020-09-24,292.66,2869110.0
2020-09-23,292.14,3710122.0
2020-09-22,294.26,3163604.0
2020-09-21,299.19,4124741.0
2020-09-18,308.02,3795806.0
2020-09-17,304.98,2394205.0
2020-09-16,306.52,3438228.0
2020-09-15,307.23,1468486.0
2020-09-14,308.57,1795515.0
2020-09-11,301.48,3086088.0
2020-09-10,304.6,2421619.0
2020-09-09,312.02,2195680.0
2020-09-08,307.25,2594530.0
2020-09-04,312.0,2901147.0
2020-09-03,316.23,3872533.0
2020-09-02,320.24,2846460.0
2020-09-01,312.83,2487188.0
2020-08-31,312.55,4341556.0
2020-08-28,314.37,2883586.0
2020-08-27,311.67,2321100.0
2020-08-26,308.82,3178972.0
2020-08-25,312.22,1879520.0
2020-08-24,308.84,2922446.0
2020-08-21,314.14,2488477.0
2020-08-20,313.33,2245791.0
2020-08-19,315.4,2066691.0
2020-08-18,316.81,2520285.0
2020-08-17,320.51,2700639.0
2020-08-14,323.7,1787375.0
2020-08-13,321.52,2159587.0
2020-08-12,322.27,2916495.0
2020-08-11,315.55,3018248.0
2020-08-10,319.1,2563849.0
2020-08-07,317.03,2600751.0
2020-08-06,314.06,3305601.0
2020-08-05,312.47,3014732.0
2020-08-04,304.5,3595182.0
2020-08-03,303.61,2628889.0
2020-07-31,302.78,3913650.0
2020-07-30,305.23,2205343.0
2020-07-29,306.68,2672724.0
2020-07-28,299.93,2257492.0
2020-07-27,298.6,2060506.0
2020-07-24,300.79,2415759.0
2020-07-23,302.97,2367675.0
2020-07-22,306.71,1935771.0
2020-07-21,305.11,2339785.0
2020-07-20,303.46,2374932.0
2020-07-17,306.53,3016515.0
2020-07-16,307.15,3843930.0
2020-07-15,304.07,5114764.0
2020-07-14,308.52,4225643.0
2020-07-13,299.71,4261793.0
2020-07-10,291.23,2391551.0
2020-07-09,291.16,3061029.0
2020-07-08,298.36,1986571.0
2020-07-07,296.65,2075305.0
2020-07-06,302.81,2394544.0
2020-07-02,298.26,1971686.0
2020-07-01,297.73,2306448.0
2020-06-30,294.95,2931403.0
2020-06-29,289.76,2356713.0
2020-06-26,286.88,5043217.0
2020-06-25,296.22,3111352.0
2020-06-24,289.18,3398554.0
2020-06-23,297.6,4023359.0
2020-06-22,292.67,2170290.0
2020-06-19,291.24,5172840.0
2020-06-18,291.48,2922872.0
2020-06-17,292.6,2537809.0
2020-06-16,293.0,4245320.0
2020-06-15,286.28,4494376.0
2020-06-12,285.15,5416185.0
2020-06-11,283.73,6637443.0
2020-06-10,305.75,3293695.0
2020-06-09,309.21,3061520.0
2020-06-08,309.48,4633521.0
2020-06-05,311.85,5553228.0
2020-06-04,298.08,4373644.0
2020-06-03,305.35,4360043.0
2020-06-02,306.31,2756763.0
2020-06-01,305.93,2893945.0
2020-05-29,304.85,6251466.0
2020-05-28,303.97,4387457.0
2020-05-27,303.77,5617624.0
2020-05-26,294.89,4567935.0
2020-05-22,289.94,2922192.0
2020-05-21,286.91,3604782.0
2020-05-20,287.99,3199609.0
2020-05-19,289.05,3058582.0
2020-05-18,293.36,4014769.0
2020-05-15,290.96,12182186.0
2020-05-14,290.61,5704273.0
2020-05-13,278.0,5472173.0
2020-05-12,287.7,4211716.0
2020-05-11,288.69,3490697.0
2020-05-08,287.0,3199949.0
2020-05-07,285.0,3162328.0
2020-05-06,288.77,2578448.0
2020-05-05,293.04,2500455.0
2020-05-04,287.54,2894192.0
2020-05-01,284.51,3526099.0
2020-04-30,292.47,7629191.0
2020-04-29,287.65,4254069.0
2020-04-28,288.36,3861362.0
2020-04-27,293.98,3705579.0
2020-04-24,291.29,3264950.0
